orgId	locusId	sysName	geneName	desc	set1S88 D-Glucose (C); 20C	set1S89 Tween 20 (C), 20C	set1S90 D-Glucose (C); 30C	set1S91 Tween 20 (C), 30C
Brev2	A4249_RS01480	A4249_RS01480		cell division protein MraZ	0.737	0.384	1.039	-0.234
Brev2	A4249_RS01530	A4249_RS01530		mechanosensitive ion channel family protein	-0.169	0.028	-0.035	-0.086
Brev2	A4249_RS01535	A4249_RS01535		hypothetical protein	-0.082	0.110	0.391	0.189
Brev2	A4249_RS01540	A4249_RS01540		chromosome segregation protein SMC	-0.379	-0.190	-0.132	-0.484
Brev2	A4249_RS01545	A4249_RS01545		thioredoxin domain-containing protein	-0.562	-0.308	-0.375	-0.329
Brev2	A4249_RS01555	A4249_RS01555		response regulator	-0.429	-0.016	-0.217	-0.340
Brev2	A4249_RS01560	A4249_RS01560		histidine kinase dimerization/phosphoacceptor domain -containing protein	0.017	-0.130	-0.246	-0.109
Brev2	A4249_RS01570	A4249_RS01570		A/G-specific adenine glycosylase	0.013	0.053	0.034	-0.092
Brev2	A4249_RS01575	A4249_RS01575		amylo-alpha-1,6-glucosidase	-0.016	0.148	0.294	-0.016
Brev2	A4249_RS01580	A4249_RS01580		VWA domain-containing protein	-0.042	-0.003	-0.066	-0.140
Brev2	A4249_RS01585	A4249_RS01585		glycosyltransferase family 4 protein	-0.043	0.103	-0.073	0.119
Brev2	A4249_RS01590	A4249_RS01590		site-specific DNA-methyltransferase	0.176	0.308	1.572	-0.378
Brev2	A4249_RS01595	A4249_RS01595		hypothetical protein	-0.248	-0.158	-0.162	-0.081
Brev2	A4249_RS01600	A4249_RS01600		HlyD family secretion protein	0.072	-1.103	-0.011	-1.093
Brev2	A4249_RS01605	A4249_RS01605		MFS transporter	-0.014	-1.006	-0.020	-1.191
Brev2	A4249_RS01610	A4249_RS01610		TetR/AcrR family transcriptional regulator	-0.094	-0.273	-0.613	0.390
Brev2	A4249_RS01615	A4249_RS01615		GNAT family N-acetyltransferase	0.737	1.163	0.861	0.669
Brev2	A4249_RS01620	A4249_RS01620		S46 family peptidase	0.016	0.161	0.215	0.096
Brev2	A4249_RS01625	A4249_RS01625		S46 family peptidase	-0.242	-0.243	-0.567	-0.360
Brev2	A4249_RS01630	A4249_RS01630		ABC transporter permease	0.105	0.255	-0.072	-0.184
Brev2	A4249_RS01635	A4249_RS01635		ABC transporter ATP-binding protein	-0.203	-0.057	-0.904	-0.440
Brev2	A4249_RS01640	A4249_RS01640		biotin/lipoyl-binding protein	0.265	0.136	-0.040	-0.198
Brev2	A4249_RS01645	A4249_RS01645		crotonase/enoyl-CoA hydratase family protein	-0.228	0.228	-0.011	-0.256
Brev2	A4249_RS01650	A4249_RS01650		DUF1289 domain-containing protein	-0.981	-1.605	-1.763	-1.185
