orgId	locusId	sysName	geneName	desc	set1IT067 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set1IT070 Plant=Tomato_cv_Moneymaker; PlantTreatment=None; Sample=Xylem_sap; GrowthSubstrate=calcine_clay; Collection=direct; 1dpi	set2IT059 M63_quarter_strength	set2IT062 CPG	set2IT063 M63_quarter_strength	set4IT033 CPG	set4IT034 M63_quarter_strength
RalstoniaGMI1000	RS_RS00890	RS_RS00890		alcohol dehydrogenase	-0.013	-0.575	-0.057	0.122	0.227	-0.188	-0.046
RalstoniaGMI1000	RS_RS00895	RS_RS00895		DUF4010 domain-containing protein	-0.010	0.083	0.021	-0.113	0.071	0.088	0.067
RalstoniaGMI1000	RS_RS00910	RS_RS00910		universal stress protein	-0.263	0.513	0.206	-0.066	-0.139	-0.298	-0.125
RalstoniaGMI1000	RS_RS00915	RS_RS00915		universal stress protein	-0.156	-0.108	0.046	0.068	-0.128	-0.034	-0.005
RalstoniaGMI1000	RS_RS00920	RS_RS00920		BON domain-containing protein	0.039	0.219	0.195	-0.169	-0.019	0.004	0.186
RalstoniaGMI1000	RS_RS00925	RS_RS00925		hypothetical protein	0.277	0.489	0.164	-0.266	-0.105	0.211	-0.186
RalstoniaGMI1000	RS_RS00930	RS_RS00930		conjugal transfer protein TraR	0.252	-0.163	-0.007	-0.504	0.893	0.791	0.320
RalstoniaGMI1000	RS_RS00935	RS_RS00935		BON domain-containing protein	-0.152	-0.310	-0.009	0.091	-0.007	-0.182	-0.018
RalstoniaGMI1000	RS_RS00940	RS_RS00940		Crp/Fnr family transcriptional regulator	0.016	-0.156	0.143	-0.073	0.179	0.010	0.050
RalstoniaGMI1000	RS_RS00945	RS_RS00945		PAS domain S-box protein	-0.082	0.021	-0.099	-0.078	0.014	-0.351	-0.488
RalstoniaGMI1000	RS_RS00950	RS_RS00950		DNA-binding response regulator	0.096	0.209	-0.155	-0.266	-0.060	0.017	0.104
RalstoniaGMI1000	RS_RS00955	RS_RS00955		hypothetical protein	-0.201	-0.873	0.479	-0.393	-0.171	0.003	0.005
RalstoniaGMI1000	RS_RS00960	RS_RS00960		alcohol dehydrogenase	-0.076	0.044	-0.024	-0.012	-0.250	0.013	-0.072
RalstoniaGMI1000	RS_RS00965	RS_RS00965		ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	0.094	-0.085	-0.145	0.072	-0.016	0.071	0.031
RalstoniaGMI1000	RS_RS00970	RS_RS00970		hypothetical protein	0.067	0.048	-0.012	-0.059	-0.019	0.001	-0.177
RalstoniaGMI1000	RS_RS00975	RS_RS00975		cytochrome c4	0.210	-0.388	0.006	0.015	0.044	0.127	-0.105
RalstoniaGMI1000	RS_RS00980	RS_RS00980		hypothetical protein	-0.031	0.096	-0.108	-0.083	-0.033	0.007	-0.057
RalstoniaGMI1000	RS_RS00985	RS_RS00985		cytochrome b	0.088	-0.472	-0.086	-0.268	-0.271	0.051	0.048
RalstoniaGMI1000	RS_RS00990	RS_RS00990		Hsp20/alpha crystallin family protein	0.002	-0.203	0.366	-0.281	-0.227	-0.183	-0.154
RalstoniaGMI1000	RS_RS00995	RS_RS00995		MBL fold metallo-hydrolase	0.126	-0.107	-0.030	0.110	-0.005	-0.274	-0.024
RalstoniaGMI1000	RS_RS01000	RS_RS01000		phosphoribosylpyrophosphate synthetase	0.032	0.193	-0.059	0.011	-0.095	-0.183	-0.044
RalstoniaGMI1000	RS_RS01005	RS_RS01005		DUF1488 domain-containing protein	-0.209	-0.005	0.243	-0.011	0.039	-0.043	-0.013
RalstoniaGMI1000	RS_RS01010	RS_RS01010		thymidine phosphorylase	0.008	0.359	0.057	0.060	-0.101	-0.098	-0.185
RalstoniaGMI1000	RS_RS01015	RS_RS01015		LysR family transcriptional regulator	0.191	0.118	0.034	-0.024	-0.052	0.031	-0.004
RalstoniaGMI1000	RS_RS01020	RS_RS01020		alpha/beta hydrolase	-0.182	-0.038	-0.191	-0.068	0.016	-0.216	-0.067
RalstoniaGMI1000	RS_RS01025	RS_RS01025		MFS transporter	0.010	-0.606	-0.373	0.318	-0.451	-0.265	-0.214
RalstoniaGMI1000	RS_RS01035	RS_RS01035		membrane protein	-0.031	0.200	-0.037	-0.053	0.057	-0.055	0.051
RalstoniaGMI1000	RS_RS01040	RS_RS01040		transcriptional regulator	0.147	1.343	0.349	-0.260	-0.486	-0.960	0.197
RalstoniaGMI1000	RS_RS01045	RS_RS01045		membrane protein	-0.051	-0.011	-0.021	0.287	0.221	-0.089	-0.103
RalstoniaGMI1000	RS_RS01050	RS_RS01050		aspartate/glutamate racemase family protein	0.295	-0.257	0.189	0.392	-0.056	0.051	0.294
RalstoniaGMI1000	RS_RS01055	RS_RS01055		GMP synthase	-0.182	0.402	0.168	0.151	-0.186	-0.361	-0.181
RalstoniaGMI1000	RS_RS01060	RS_RS01060		LysR family transcriptional regulator	-0.250	0.278	-0.171	-0.088	0.037	-0.039	-0.274
RalstoniaGMI1000	RS_RS01070	RS_RS01070		MFS transporter	-0.048	0.187	0.017	0.053	-0.033	-0.071	-0.168
RalstoniaGMI1000	RS_RS01075	RS_RS01075		aldo/keto reductase	0.057	0.546	-0.420	0.106	0.247	-0.233	-0.406
RalstoniaGMI1000	RS_RS01080	RS_RS01080		hypothetical protein	-0.203	0.169	-0.273	-0.148	0.128	0.014	0.143
RalstoniaGMI1000	RS_RS01090	RS_RS01090		cupin domain-containing protein	-0.042	0.130	0.151	0.045	0.095	0.076	-0.103
RalstoniaGMI1000	RS_RS01095	RS_RS01095		hypothetical protein	-0.069	-0.663	-0.646	0.432	0.082	-0.191	0.085
