genus_lower,biome_H_std,ko_per_mb_total_z,disc_per_mb_z
dietzia,0.34839785142022117,-0.06860511495045081,0.581452317494077
dokdonella,0.6335095022834903,0.9703913025876275,0.7289809903317089
dokdonia,0.5252083789502152,0.08798847432637331,-0.1462343436710974
domibacillus,0.645862312553073,-0.3436571279478087,0.49075734083070605
dorea,0.28817939627588707,-0.738201359167209,-1.3457173211401743
duncaniella,0.5178993192603525,0.11909364324930494,-0.6353907936593487
duodenibacillus,0.36618435853527215,0.8454645144632075,0.06669816804961286
dyadobacter,0.5892289689440988,-0.989165630368551,-1.1230878844309167
dyella,0.6290743017988137,-0.12723895099944657,-0.3424053373991906
dysgonomonas,0.5367570098755208,-0.3319006199885091,-1.0813941426131726
echinicola,0.4524626169691696,-0.46102622564285106,-1.0424691344373418
edaphobacter,0.45344228336315534,0.13822445327011387,-0.4799712030067186
effusibacillus,0.4733448366107062,-0.2012323916332231,-0.3408866515738905
eisenbergiella,0.23136410674021474,-1.44975995957339,-1.2860698539206097
emergencia,0.4830092058745284,-1.365751993607496,-1.9743190591558333
emticicia,0.6230047653517508,-0.744139623548826,-1.1170335196881278
endomicrobium,0.7001758355897258,0.5445568743585085,-0.4289352514675868
endozoicomonas,0.3251737777750725,-0.8191094298387259,0.10873229768719765
enterocloster,0.3927186167745974,-1.4251951865856396,-1.3255120252881365
enterococcus,0.501842390540906,-0.25270181839366024,-0.291327778551163
enterovibrio,0.21335119101783648,-0.21910726726654559,0.3282505901940873
erwinia,0.6313045924211823,0.47786337704315585,0.1972539598117617
erysipelothrix,0.33678688509125587,0.3419156231755731,0.7201302222271303
erythrobacter,0.5779613082003392,0.6099276000432953,0.7372873725022117
escherichia,0.5065789470522745,0.37647341913834026,0.11668253798273669
eubacterium,0.3833400110298017,-1.0652938556693905,-1.4859778266881112
facklamia,0.11048427312481209,1.0166955178037038,0.31235046783532144
faecalibacterium,0.45233070696323313,-0.9241023379739967,-0.9794387676400109
faecalimonas,0.4683224226096147,-1.0791413927433646,-1.091193143995496
ferrimonas,0.46606641339579213,0.584568240305832,0.6908923762159598
ferruginibacter,0.5649177316449907,-0.19903347238251115,-0.4500338901812484
fibrobacter,0.41546980886166807,-0.8040604059776374,-1.1235511203997919
fimbriimonas,0.5995167716118215,-0.818794518467864,-1.2012653364666637
finegoldia,0.40353068263863323,0.33940911296568516,-0.36010383747392655
fischerella,0.3963429024758343,-0.3975609464274555,-0.3417735119140775
flavipsychrobacter,0.5478900058640966,-0.4910302330128505,-1.0467437159023694
flavisolibacter,0.5510071243921572,-0.0730884155305844,-0.7208877416403688
flavitalea,0.5656876002668171,0.19239004017881312,0.41975646999694133
flavobacterium,0.5670922577691232,-0.012933230585863941,-0.2575854535947876
fluviicola,0.581366630656288,-0.40819450935518664,-1.109862773595981
fournierella,0.3679446682358798,-1.2406477632698008,-1.3454707615995216
fundicoccus,0.21410592581182558,-0.5659290820713011,0.0694105913817097
fusicatenibacter,0.47469844287123847,-1.3289246343502192,-1.0958785991828421
fusobacterium,0.3667075177876459,0.7079495960631279,-0.45274051351244327
gallionella,0.49031790921978663,2.092989175998782,0.22167675550902372
gemmata,0.5807852235595886,-1.5585126161963418,-1.266150171479082
gemmatimonas,0.6388172731963989,0.10357964615374862,-0.5625100522813331
gemmobacter,0.5067933670688385,-0.25344190895906754,0.7227143299909679
geobacillus,0.5547201987939698,0.25534563918662173,0.8116793165303628
geobacter,0.3163722727352489,1.320635011532659,0.21089640597877715
geodermatophilus,0.5334207401942496,-1.2904563207080577,-0.19203376252169127
