genus_lower,biome_H_std,ko_per_mb_total_z,ko_per_mb_tier1_z,ko_per_mb_tier2_z,abr_per_mb_z
ferruginibacter,0.5649177316449907,-0.19903347238251115,-0.34133976110625236,-0.517707581096061,-0.11725033556374176
fibrobacter,0.41546980886166807,-0.8040604059776374,-1.0124121647843363,-1.3862130632042722,-0.19152326292053645
fimbriimonas,0.5995167716118215,-0.818794518467864,-0.7526322698701913,-0.6325432121828902,-0.23299018149679496
finegoldia,0.40353068263863323,0.33940911296568516,-0.09262529909772667,-0.05726104294270248,-0.13808322708518872
fischerella,0.3963429024758343,-0.3975609464274555,-0.2157549338831109,0.15767731284236472,-0.23341488867274246
flavipsychrobacter,0.5478900058640966,-0.4910302330128505,-0.48419429954877885,-1.0387316957670385,-0.1419192768527224
flavisolibacter,0.5510071243921572,-0.0730884155305844,-0.45256677068702483,-0.46573986943239476,-0.23689814041895452
flavitalea,0.5656876002668171,0.19239004017881312,-0.4274183773345938,-0.1538664723043215,-0.2582805125838608
flavobacterium,0.5670922577691232,-0.012933230585863941,-0.10615195536669134,-0.6422639501419215,0.46380958628913593
fluviicola,0.581366630656288,-0.40819450935518664,-0.5005464209820478,-0.8355122128724598,-0.24488410876963068
fournierella,0.3679446682358798,-1.2406477632698008,-0.6119248052107898,-1.4305425170032542,-0.02254805921161699
fundicoccus,0.21410592581182558,-0.5659290820713011,0.8481341399685751,-0.6521538237984864,-0.23979852815887726
fusicatenibacter,0.47469844287123847,-1.3289246343502192,-0.6868029633601946,-0.26104403393106035,-0.10874100359705834
fusobacterium,0.3667075177876459,0.7079495960631279,0.12472623235673291,0.400323438236796,-0.13292820619603768
gallionella,0.49031790921978663,2.092989175998782,1.2960172841786044,0.9153107373736514,-0.23032185690756252
gemmata,0.5807852235595886,-1.5585126161963418,-1.0531084101558996,-1.1513309331584904,-0.2582805125838608
gemmatimonas,0.6388172731963989,0.10357964615374862,0.015007936356211981,1.0399352554184254,-0.18100130284607666
gemmobacter,0.5067933670688385,-0.25344190895906754,0.2770723370281179,-0.1935094453319908,-0.24645683599668558
geobacillus,0.5547201987939698,0.25534563918662173,0.40957982999662945,1.008061776610393,-0.16166355935033405
geobacter,0.3163722727352489,1.320635011532659,0.7146910919609164,0.9007263652494667,-0.19492516476811686
geodermatophilus,0.5334207401942496,-1.2904563207080577,-1.0894073824823403,-0.21307466811385878,-0.23929534748217826
georgenia,0.5846949450751481,-0.5786598094683745,-0.8861193738098313,-0.3235161724152673,-0.22682023246981897
geothrix,0.4046236567346176,0.5057159266318282,0.7167263551100582,-0.9137144096097628,-0.18468527281749703
gillisia,0.4868406083139722,0.5995628070777246,0.19680861362075616,0.2067185251610174,-0.2582805125838608
glaciecola,0.6138164193050177,1.984871024699135,1.2668183069277132,0.4821265873115088,-0.2402154679842899
glutamicibacter,0.6419754440354327,-0.26963740511233836,0.34647688800496085,0.4742679099259682,-0.07122691686992078
glycomyces,0.4919485825433095,-0.9775628297266454,-0.9497219394886993,-0.3110405734579425,-0.2329052420512122
gordonia,0.588076031531957,-0.7867215507452311,-0.499216338758912,0.49811040600793527,-0.028980124325065894
gracilibacillus,0.5387509457390205,-0.6574355611319856,-0.15006974602657125,0.6571250634602667,-0.16428164524816533
gracilimonas,0.6659520682520876,1.1989822689322351,0.021955884003845544,-0.0793375181302907,-0.2537147875118054
gramella,0.5539680950446965,0.7469939939356168,0.37744413127917154,0.7232082976780212,-0.2582805125838608
granulicatella,0.24718396107292684,-0.8476959211492441,0.21529476329838843,-1.7146883973604603,-0.04376260954949666
granulosicoccus,0.568821822603001,-0.19368788158207276,-0.6882506457075538,-0.6680058468300827,-0.2542282136743965
gulosibacter,0.5484730391130204,1.0691374540776193,-0.14579588928768825,0.7454207307059431,-0.2431955208308165
haemophilus,0.2893727171097738,2.4359665206083423,1.505981641040431,-0.826314671579035,0.24272008380007096
hahella,0.6243535999743711,-0.426111650514974,-0.3774879474000907,-1.040186376575215,-0.25330265574837246
halanaerobium,0.778368109235011,-0.16198704523021787,-0.1906724703881324,0.7759172383555151,-0.25225071474324756
haliea,0.5321549925810348,0.8791977807005847,1.2813131914612856,1.6241307964647465,-0.22158375178090584
halioglobus,0.3296076563008321,0.6578814238295878,0.4107386114858729,-0.14816425320028684,-0.22006900177870323
haloarcula,0.4070590179693871,-1.2706684546838645,-1.2857514789179214,-1.3266328146982176,-0.23713616826386397
halobacterium,0.15294071831434422,-0.7242236712571076,-0.9705101939478163,-0.8547011589722453,-0.24601604878566546
halococcus,0.2548719076776295,-0.9225374283379933,-1.0429466655129196,-0.6264200752679931,-0.2528855491283107
haloferula,0.5837820712873274,-0.17790996088873778,-0.8377990880962903,-0.03647837069386565,-0.2582805125838608
halolamina,0.5761398890488455,-0.7681537877739041,-0.8562351919686616,-1.136699520247412,-0.2582805125838608
halomicroarcula,0.49451169035015163,-1.6578286891117509,-1.4451659834806618,-1.369635089041133,-0.25388923423616694
halomonas,0.5520971831773064,0.39863887640930185,1.3310657912013837,0.3729217375492356,0.3438035484018661
halorhodospira,0.46185692839748893,0.6773231183875195,-0.5741481804464345,-0.5034895359688819,-0.2520420034140492
halorientalis,0.285826843417588,-1.5345550579823333,-1.3856907002887366,-1.5643310373054713,-0.2582805125838608
halorubrum,0.6154863842612739,-1.0682327341933135,-1.2644590608912232,-1.0074446501917549,-0.2021462271409149
