genus_lower,mean_B_soil_std,n_otus
stenotrophobacter,0.569318611936815,69
stenotrophomonas,0.56110570505017,27
steroidobacter,0.7329013120647442,9
stigmatella,0.6947181437223352,7
streptococcus,0.36768916497929166,215
streptomyces,0.5894255492131495,182
succiniclasticum,0.48517340031698014,12
succinivibrio,0.2411112232990993,6
sulfitobacter,0.4696137995550181,9
sulfobacillus,0.41326938135666774,8
sulfuricaulis,0.4772800178220043,13
sulfuricella,0.36549316085412414,8
sulfuricurvum,0.3454863071694326,7
sulfuriferula,0.43742686759967947,7
sulfurifustis,0.6220505208809544,5
sulfurimonas,0.5841273725971909,31
sulfurisoma,0.4958370679042478,7
sulfuritalea,0.5598991320874498,13
sulfuritortus,0.27054510823328215,8
sulfurospirillum,0.40076013700419977,8
sulfurovum,0.5123044350004268,19
sutterella,0.32314286130509356,8
symbiobacterium,0.5505508872839722,6
synechococcus,0.28082076143338486,20
synechocystis,0.2011092194714435,7
syntrophaceticus,0.5148429671017171,7
syntrophobacter,0.3677721343519573,6
syntrophomonas,0.4842940096184801,20
syntrophorhabdus,0.38250456082954115,8
syntrophotalea,0.47293374792378656,19
syntrophus,0.3398744759385417,15
tabrizicola,0.6694763735847842,5
taibaiella,0.5701120301950181,14
tannerella,0.44586210374585955,5
telluria,0.5035948179795151,7
tellurimicrobium,0.6586083929950419,8
tenacibaculum,0.37761983392087495,22
tepidamorphus,0.5574058986004711,6
tepidanaerobacter,0.6303467278168028,10
tepidimicrobium,0.6285181416162894,7
terrimicrobium,0.625983794032019,11
terrimonas,0.6419481959331989,51
terrisporobacter,0.35586516318344674,5
tessaracoccus,0.43897780845696077,20
thalassobaculum,0.5376403306751686,6
thalassotalea,0.4437606960224748,20
thauera,0.5271339866707234,13
thermoclostridium,0.6233168500153059,7
thermodesulfovibrio,0.5534642140879725,5
thermomonas,0.6915892931361199,12
thermomonospora,0.5604818544047416,5
thermus,0.5117927525991428,19
thioalkalivibrio,0.6338651286322216,6
thiobacillus,0.4532077553711382,9
thioflavicoccus,0.16247148884345491,5
thiohalocapsa,0.6437920234600509,7
thiohalophilus,0.515732263462842,8
thiomicrorhabdus,0.6228140880367513,8
thiothrix,0.5417595221258862,13
thiovirga,0.35987298976955706,8
tissierella,0.4951153121859062,28
treponema,0.3663977048633924,61
trichormus,0.25830049194487226,5
tumebacillus,0.6731843689649006,20
tundrisphaera,0.598743415425719,17
uliginosibacterium,0.4453763844284356,8
ulvibacter,0.6252733816891223,6
undibacterium,0.5032620298848038,12
vagococcus,0.5691308720822623,9
variibacter,0.567896015036925,13
variovorax,0.6274753837335001,17
veillonella,0.32815932926162666,24
verrucomicrobium,0.6005044683511492,6
