orgId	locusId	sysName	name	desc	hitId	hitSysName	hitName	hitDesc	rank	cofit	conserved
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS00195	MMP_RS00195		DUF4013 domain-containing protein	1	0.562582384643679	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS00650	MMP_RS00650		ABC transporter ATP-binding protein	2	0.553665418637491	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS08555	MMP_RS08555		hypothetical protein	3	0.524018985926023	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS00855	MMP_RS00855		DUF367 family protein	4	0.492683430412619	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS00385	MMP_RS00385		P-II family nitrogen regulator	5	0.488270168198173	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS02375	MMP_RS02375		hypothetical protein	6	0.480131138714385	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS04115	MMP_RS04115		cytosine permease	7	0.470808463782059	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS01065	MMP_RS01065		alpha/beta hydrolase	8	0.465479022305673	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS00430	MMP_RS00430		hypothetical protein	9	0.453587134648009	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS00800	MMP_RS00800		Coenzyme F420 hydrogenase/dehydrogenase  beta subunit C-terminal domain	10	0.452237598557374	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS06065	MMP_RS06065		iron ABC transporter substrate-binding protein	11	0.445299793276083	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS01060	MMP_RS01060		calcium/sodium antiporter	12	0.437500351646358	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS00940	MMP_RS00940		daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein	13	0.435171820045779	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS02380	MMP_RS02380		ATP-binding protein	14	0.43006950238895	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS07915	MMP_RS07915		DUF4870 domain-containing protein	15	0.427132171308171	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS00185	MMP_RS00185		potassium channel protein	16	0.421519797696885	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS05110	MMP_RS05110		16S ribosomal RNA methyltransferase A	17	0.419757760747241	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS01055	MMP_RS01055		hypothetical protein	18	0.41477528887222	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS06045	MMP_RS06045		DNA polymerase	19	0.40048628897826	FALSE
Methanococcus_S2	MMP_RS00085	MMP_RS00085		DNA cytosine methyltransferase	MMP_RS04135	MMP_RS04135		DUF3737 family protein	20	0.390581434962917	FALSE
Methanococcus_S2	MMP_RS00090	MMP_RS00090		CoA-binding protein	MMP_RS02530	MMP_RS02530		type II toxin-antitoxin system mRNA interferase toxin  RelE/StbE family	1	0.640558773960351	FALSE
Methanococcus_S2	MMP_RS00090	MMP_RS00090		CoA-binding protein	MMP_RS05865	MMP_RS05865		hypothetical protein	2	0.634035053535892	FALSE
Methanococcus_S2	MMP_RS00090	MMP_RS00090		CoA-binding protein	MMP_RS02260	MMP_RS02260		lactate utilization protein	3	0.585024930723921	FALSE
