orgId	carbon_source	cpd_id	growth_rate	fba_status	predicted_growth	observed_growth	correct
Marino	L-Glutamic acid monopotassium salt monohydrate	cpd00023	4.157601	optimal	True	True	True
Marino	Sodium Fumarate dibasic	cpd00106	3.900337	optimal	True	True	True
Marino	Sodium propionate	cpd00141	3.900337	optimal	True	False	False
Marino	D-Glucosamine Hydrochloride	cpd00276	4.875421	optimal	True	False	False
Marino	a-Cyclodextrin	cpd24451	3.250281	optimal	True	False	False
Marino	Ethanol	cpd00363	3.900337	optimal	True	True	True
Marino	D-Glucose-6-Phosphate sodium salt	cpd00079	4.875421	optimal	True	False	False
Marino	D-Galacturonic Acid monohydrate	cpd00280	3.250281	optimal	True	False	False
Marino	L-Alanine	cpd00035	3.900337	optimal	True	False	False
Marino	L-Asparagine	cpd00132	3.293213	optimal	True	False	False
Marino	Sodium butyrate	cpd00211	3.250281	optimal	True	False	False
