genus,genus_for_tree,count_breadth_std,shannon_breadth_std,count_breadth_ses,shannon_breadth_ses,mean_levins_B_std
lentibacillus,lentibacillus,0.9077277970011534,0.980275105936958,0.7066074642287623,0.8626710029587904,0.1850545775068779
leptolyngbya,leptolyngbya,1.0,0.9861742293388294,,,0.0732189487146811
leptonema,leptonema,0.9538638985005768,0.9813914120752876,,,0.1944582871581282
leptospira,leptospira,0.9331026528258364,0.9825446275838124,,,0.3841556389459667
leptotrichia,leptotrichia,1.0,0.9861742293388294,,,0.2226605825055097
leucobacter,leucobacter,1.0,0.9861742293388294,,,0.3407597598745197
leuconostoc,leuconostoc,0.9261822376009228,0.9793386826591984,,,0.1366239588258045
lewinella,lewinella,1.0,0.9861742293388294,,,0.071698489429352
loktanella,loktanella,1.0,0.9861742293388294,,,0.1395954801283343
luteibacter,luteibacter,0.9261822376009228,0.9793386826591984,,,0.6710911864717002
luteolibacter,luteolibacter,1.0,0.9861742293388294,,,0.3374561911461971
lysobacter,lysobacter,1.0,0.9861742293388294,,,0.40467431747409
magnetospirillum,magnetospirillum,1.0,0.9861742293388294,,,0.2884017549600718
maribacter,maribacter,1.0,0.9861742293388294,,,0.0395035678572158
maricaulis,maricaulis,0.9331026528258364,0.9825446275838124,,,0.0853602869010483
marinicella,marinicella,1.0,0.9861742293388294,,,0.0942762386962488
marinimicrobium,marinimicrobium,0.9054209919261822,0.977745196654314,0.7130722616422216,0.6100624419229448,0.3017373960898321
marinobacter,marinobacter,1.0,0.9861742293388294,,,0.1025147739995352
marinococcus,marinococcus,0.9919261822376008,0.988245658493502,1.7744056511363688,1.8330599761190052,0.2105606842466973
marinomonas,marinomonas,1.0,0.9861742293388294,,,0.1199407273308305
mariprofundus,mariprofundus,0.9331026528258364,0.9825446275838124,,,0.0374075806604566
marivita,marivita,0.9919261822376008,0.988245658493502,1.4719439467475823,1.529349592863311,0.0214638367606668
megamonas,megamonas,0.9919261822376008,0.988245658493502,,,0.1017220092526961
megasphaera,megasphaera,0.9919261822376008,0.988245658493502,,,0.128204256427651
meiothermus,meiothermus,0.9261822376009228,0.9793386826591984,,,0.1951987873547681
mesorhizobium,mesorhizobium,1.0,0.9861742293388294,,,0.4080621840626654
methanobacterium,methanobacterium,1.0,0.9861742293388294,,,0.1436750551990653
methanobrevibacter,methanobrevibacter,0.9919261822376008,0.988245658493502,1.8425913465843156,1.924161534234964,0.1376920274769136
methanocalculus,methanocalculus,0.9331026528258364,0.9825446275838124,,,0.0771728789976025
methanocella,methanocella,1.0,0.9861742293388294,0.0,1.0,0.145396635508563
methanocorpusculum,methanocorpusculum,0.9054209919261822,0.977745196654314,,,0.1269516910711692
methanolobus,methanolobus,0.9331026528258364,0.9825446275838124,,,0.0766900157290014
methanosarcina,methanosarcina,1.0,0.9861742293388294,,,0.1346504413110096
methanosphaera,methanosphaera,0.9261822376009228,0.9793386826591984,,,0.1326520048605711
methanospirillum,methanospirillum,0.8638985005767013,0.9718890883941396,,,0.0967158621507981
methylobacillus,methylobacillus,0.9919261822376008,0.988245658493502,,,0.3456417341122065
methylobacterium,methylobacterium,1.0,0.9861742293388294,,,0.3934353509514121
methylocaldum,methylocaldum,0.9538638985005768,0.9813914120752876,,,0.2911146873267851
methylocella,methylocella,0.8638985005767013,0.9718890883941396,,,0.4950405592109281
methylomonas,methylomonas,0.9538638985005768,0.9813914120752876,,,0.0646533198866627
methylophaga,methylophaga,1.0,0.9861742293388294,,,0.1800616389472372
methylosinus,methylosinus,1.0,0.9861742293388294,,,0.727500666371657
