feature	mean_abs_shap	level	ko_id	kegg_ko	ko_desc
L2_208	0.0	L2	261.0	K00973	E2.7.7.24, rfbA, rffH; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
L2_209	0.0	L2	262.0	K01710	E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
L2_210	0.0	L2	263.0	K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]
L2_211	0.0	L2	264.0	K17947	wbiB; dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
L2_101	0.0	L2	121.0	K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
L2_213	0.0	L2	266.0	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein
L2_214	0.0	L2	267.0	K15778	pmm-pgm; phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]
L2_215	0.0	L2	268.0	K03522	fixB, etfA; electron transfer flavoprotein alpha subunit
L2_216	0.0	L2	269.0	K03521	fixA, etfB; electron transfer flavoprotein beta subunit
L2_217	0.0	L2	270.0	K12990	rfbF, rhlC; rhamnosyltransferase [EC:2.4.1.-]
L2_218	0.0	L2	272.0	K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
L2_219	0.0	L2	273.0	K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
L2_220	0.0	L2	276.0	K03764	metJ; MetJ family transcriptional regulator, methionine regulon repressor
L2_221	0.0	L2	277.0	K01467	ampC; beta-lactamase class C [EC:3.5.2.6]
L2_223	0.0	L2	279.0	K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
L2_247	0.0	L2	305.0	K02169	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]
L2_98	0.0	L2	118.0	K06867	K06867; uncharacterized protein
L2_245	0.0	L2	303.0	K03111	ssb; single-strand DNA-binding protein
L2_244	0.0	L2	302.0	K02523	ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
L2_243	0.0	L2	301.0	K12262	cybB; cytochrome b561
L2_242	0.0	L2	300.0	K06883	K06883; uncharacterized protein
L2_241	0.0	L2	299.0	K01752	E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]
L2_240	0.0	L2	298.0	K07316	mod; adenine-specific DNA-methyltransferase [EC:2.1.1.72]
L2_224	0.0	L2	280.0	K03301	TC.AAA; ATP:ADP antiporter, AAA family
L2_238	0.0	L2	296.0	K07334	higB-1; toxin HigB-1
L2_237	0.0	L2	295.0	K01156	res; type III restriction enzyme [EC:3.1.21.5]
